horizon_s,rows_total,kept_share,filtered_share,kept_turnover_share,kept_turnover_usd_per_day,turnover_constraint_usd_per_day,turnover_constraint_met,PnL_all_bps,PnL_kept_bps,PnL_filtered_bps,Score_bps
30,600370629,0.03506785805805967,0.9649321419419403,0.06268252369779889,1499804528.866616,500000.0,true,-0.069643677568123,2.5088894895534612,-0.23175882052829402,2.5785331671215843
120,600370629,0.03506785805805967,0.9649321419419403,0.06268252369779889,1499804528.866616,500000.0,true,0.05522848633241046,4.035284767983962,-0.19500191648600118,3.9800562816515512
300,600370629,0.03506785805805967,0.9649321419419403,0.06268252369779889,1499804528.866616,500000.0,true,0.10659497386253038,3.7765964420808182,-0.12414202087571037,3.6700014682182878
