horizon_s,rows_total,kept_share,filtered_share,kept_turnover_share,kept_turnover_usd_per_day,turnover_constraint_usd_per_day,turnover_constraint_met,PnL_all_bps,PnL_kept_bps,PnL_filtered_bps,Score_bps
30,1107782898,0.035218545141324255,0.9647814548586757,0.06367754562529603,1628784624.9090538,500000.0,true,-0.06134007812967491,2.9730883677135784,-0.25615836073036113,3.0344284458432536
120,1107782898,0.035218545141324255,0.9647814548586757,0.06367754562529603,1628784624.9090538,500000.0,true,0.02385291013004995,4.281415539057588,-0.24949512613514443,4.257562628927538
300,1107782898,0.035218545141324255,0.9647814548586757,0.06367754562529603,1628784624.9090538,500000.0,true,0.07726751182131546,4.483198134208618,-0.20560805999992615,4.405930622387303
