horizon_s,rows_total,kept_share,filtered_share,kept_turnover_share,kept_turnover_usd_per_day,turnover_constraint_usd_per_day,turnover_constraint_met,PnL_all_bps,PnL_kept_bps,PnL_filtered_bps,Score_bps,liq_source,liq_threshold_usd,window_seconds,filter_direction
30,600370629,0.9722633366863122,0.02773666331368785,0.9674756466264901,23148786468.364876,500000.0,true,-0.069643677568123,-0.05044427650525655,-0.6475102493933502,0.019199401062866446,binance,34801.32,20,opposite
120,600370629,0.9722633366863122,0.02773666331368785,0.9674756466264901,23148786468.364876,500000.0,true,0.05522848633241046,0.11901932264026366,-1.8647580679554374,0.0637908363078532,binance,34801.32,20,opposite
300,600370629,0.9722633366863122,0.02773666331368785,0.9674756466264901,23148786468.364876,500000.0,true,0.10659497386253038,0.1347966156912896,-0.7422221953328391,0.028201641828759214,binance,34801.32,20,opposite
